Run ID,Process Start Time,Feed Type,Feed (g),Additive 1 (g),Additive 2 (g),Additive 3 (g),Run,Weight before Drying,Weight after Drying,Output A (g),Speed (RPM),Date
14,10.00,A,347,226.55,13.07,,14.0,1148.0,257.0,2361.00,308.0,25/04/2023
15,9.45,A,394.25,161.2,15.07,,15.0,2431.0,1552.0,622.00,281.0,26/04/2023
16,8.45,A,381.88,368.15,3.08,,16.0,1384.0,493.0,553.00,416.0,28/04/2023
17,9.45,B,563.76,216.0,18.02,,17.0,1125.0,447.0,515.00,385.0,03/05/2023
18,13.30,A,777,101.23,16.21,,18.0,1909.0,306.0,711.00,546.0,15/05/2023
19,11.45,A,541.02,422.14,10.01,,19.0,1809.0,892.0,766.00,177.0,23/05/2023
20,10.15,A,641.14,99.07,11.14,,20.0,1559.0,653.0,#NA!,281.0,24/05/2023
22,9.15,A,491.24,231.64,2.0,,22.0,2741.0,500.0,747.00,425.0,26/05/2023
23,10.45,A,471.68,97.19,3.21,,23.0,1493.0,448.0,696.00,598.0,30/05/2023
24,9.40,A,477.22,382.23,20.99,,24.0,2568.0,447.0,691.00,485.0,31/05/2023
25,10.30,A,395.23,115.66,5.04,,25.0,994.0,381.0,1523.00,447.0,01/06/2023
26,11.15,B,504.54,302.12,11.23,,26.0,1221.0,672.0,914.00,452.0,05/06/2023
27,10.15,B,541.44,372.06,8.14,,27.0,1327.0,481.0,254.00,392.0,06/06/2023
28,8.45,B,320.74,375.81,8.02,,28.0,897.0,360.0,666.00,437.0,07/06/2023
29,9.15,B,413.74,119.98,3.14,,29.0,1278.0,748.0,407.00,360.0,08/06/2023
30,11.00,B,778.94,141.44,7.94,,30.0,1917.0,237.0,2298.00,620.0,12/06/2023
32,10.15,B,672.14,182.11,3.08,,32.0,2879.0,1258.0,3815.00,630.0,14/06/2023
50,7.40,A,915.14,203.59,7.28,,50.0,895.0,310.0,690.00,489.0,06/07/2023
57,11.00,B,413.07,32.54,12.0,,57.0,877.0,237.0,1530.00,552.0,17/07/2023
58,9.45,B,496.24,193.12,9.05,,58.0,2595.0,1496.0,1612.00,877.0,18/07/2023
63,11.45,B,626.45,227.44,6.08,,63.0,1358.0,819.0,967.00,988.0,24/07/2023
71,9.30,A,820.99,277.07,10.12,,71.0,1360.0,749.0,655.00,1061.0,28/07/2023
72,11.15,B,727.06,371.24,11.0,,72.0,963.0,321.0,620.00,1197.0,31/07/2023
73,9.10,B,785.17,163.18,0.0,,73.0,1583.0,488.0,851.00,1188.0,01/08/2023
82,9.40,A,7.06,11.0,0.0,,82.0,1252.0,559.0,1187.00,761.0,11/08/2023
85,9.15,B,763.01,302.12,11.04,,85.0,1672.0,362.0,558.00,572.0,17/08/2023
86,9.45,A,904.2,158.15,11.33,,86.0,1710.0,352.0,4084.00,887.0,18/08/2023
87,8.10,B,834.39,191.44,1.0,,87.0,3243.0,2260.0,637.00,790.0,21/08/2023
88,8.40,B,1231.24,239.07,0.0,,88.0,1410.0,824.0,2275.00,1245.0,22/08/2023
89,10.01,B,1268.24,111.84,0.0,,89.0,3520.0,2014.0,1923.00,893.0,24/08/2023
90,9.20,B,1294.55,293.5,6.01,,90.0,3280.0,995.0,2264.00,979.0,25/08/2023
91,10.20,B,1481.2,293.0,14.12,,91.0,3293.0,1499.0,1197.00,850.0,28/08/2023
92,9.30,B,1548.3,235.24,0.0,,92.0,3767.0,1442.0,639.00,1109.0,30/08/2023
93,8.00,B,1427.36,242.11,8.23,,93.0,2298.0,531.0,320.00,1097.0,31/08/2023
94,9.35,B,1606.11,320.08,4.03,,94.0,2133.0,529.0,#NA!,1140.0,01/09/2023
96,9.30,B,1653.9,68.04,4.0,,96.0,2182.0,565.0,288.00,1007.0,05/09/2023
97,0.40,B,1489.2,357.39,0.0,,97.0,1624.0,245.0,3193.00,1004.0,06/09/2023
98,9.35,B,1640.41,360.87,12.01,,98.0,2990.0,1961.0,468.00,959.0,07/09/2023
99,9.05,B,1544.21,179.11,13.21,,99.0,2934.0,396.0,3164.00,1064.0,08/09/2023
100,10.20,B,1681.24,174.12,12.04,,100.0,2429.0,1546.0,1579.00,931.0,11/09/2023
101,10.00,B,1838.6,97.5,0.01,,101.0,2022.0,798.0,525.00,986.0,12/09/2023
102,9.45,B,2003,64.06,7.3,,102.0,4498.0,450.0,6856.00,957.0,13/09/2023
103,9.15,B,2077.24,301.63,4.0,,103.0,4105.0,3525.0,3561.00,939.0,14/09/2023
104,9.30,B,1474.24,360.99,11.53,,104.0,3311.0,2168.0,1078.00,1046.0,15/09/2023
105,11.30,B,1043.94,173.0,5.0,,105.0,1335.0,736.0,1595.00,978.0,18/09/2023
106,10.30,B,1069.37,98.0,3.0,,106.0,1548.0,964.0,503.00,1011.0,19/09/2023
107,10.10,B,981.54,51.0,9.0,,107.0,1072.0,288.0,1581.00,1121.0,20/09/2023
108,9.20,B,1020.62,60.0,6.0,,108.0,3317.0,780.0,283.00,850.0,21/09/2023
111,9.30,B,1085.25,259.03,0.0,,111.0,2933.0,1184.0,291.00,678.0,26/09/2023
112,9.40,B,896.49,0.0,6.01,,112.0,818.0,205.0,1428.00,873.0,27/09/2023
113,9.45,B,1497.24,282.23,4.03,,113.0,2070.0,619.0,5385.00,747.0,28/09/2023
114,9.50,B,2124,0.0,6.48,,114.0,5072.0,3361.0,313.00,724.0,29/09/2023
115,10.00,B,1570.32,219.11,20.06,,115.0,4545.0,2423.0,396.00,802.0,02/10/2023
116,10.00,B,1730.58,166.54,0.0,,116.0,3863.0,268.0,#NA!,795.0,03/10/2023
121,0.39,A,1525.62,244.68,5.02,,121.0,2954.0,2026.0,4663.00,763.0,10/10/2023
124,0.34,B,1455.14,156.41,3.02,,124.0,3335.0,2212.0,380.00,899.0,13/10/2023
127,10.00,A,1607.24,0.0,2.0,,127.0,2721.0,384.0,3803.00,662.0,18/10/2023
130,8.00,A,1584.04,331.0,9.0,,130.0,4230.0,3241.0,2872.00,940.0,25/10/2023
131,8.45,A,1363.38,169.37,4.02,,131.0,3498.0,1333.0,224.00,498.0,26/10/2023
144,9.00,A,526.1,170.03,8.12,,144.0,1645.0,242.0,3131.00,593.0,15/11/2023
145,9.00,A,1445.04,41.0,7.0,,145.0,3085.0,1819.0,3819.00,702.0,16/11/2023
146,8.45,A,1365.8,179.03,11.0,,146.0,3884.0,3336.0,5953.00,734.0,17/11/2023
