Run ID,Date,Process Start Time,Feed Type,Feed (g),Additive 1 (g),Additive 2 (g),Additive 3 (g)
1,15/03/2023,14.30,B,117,109.00,1.00,
2,20/03/2023,13.15,B,205,162.00,0.00,
3,21/03/2023,10.15,B,82,50.00,7.00,
4,04/04/2023,10.15,B,30,20.00,4.00,
5,05/04/2023,10.30,A,611,216.00,6.04,
6,06/04/2023,10.40,A,473,263.00,11.12,
7,07/04/2023,10.10,A,349.9,180.00,5.18,
8,12/04/2023,10.00,B,48,126.00,9.99,
9,13/04/2023,10.30,B,65,276.58,11.12,
10,18/04/2023,10.30,B,178,78.00,10.54,
11,19/04/2023,10.30,B,82,113.11,5.50,
12,20/04/2023,10.30,B,0,195.14,12.08,
13,21/04/2023,10.30,B,48,230.98,4.08,
14,25/04/2023,10.00,A,347,226.55,13.07,
15,26/04/2023,9.45,A,394.25,161.20,15.07,
16,28/04/2023,8.45,A,381.88,368.15,3.08,
17,03/05/2023,9.45,B,563.76,216.00,18.02,
18,15/05/2023,13.30,A,777,101.23,16.21,
19,23/05/2023,11.45,A,541.02,422.14,10.01,
20,24/05/2023,10.15,A,641.14,99.07,11.14,
21,25/05/2023,10.15,A,309.4,312.01,18.28,
22,26/05/2023,9.15,A,491.24,231.64,2.00,
23,30/05/2023,10.45,A,471.68,97.19,3.21,
24,31/05/2023,9.40,A,477.22,382.23,20.99,
25,01/06/2023,10.30,A,395.23,115.66,5.04,
26,05/06/2023,11.15,B,504.54,302.12,11.23,
27,06/06/2023,10.15,B,541.44,372.06,8.14,
28,07/06/2023,8.45,B,320.74,375.81,8.02,
29,08/06/2023,9.15,B,413.74,119.98,3.14,
30,12/06/2023,11.00,B,778.94,141.44,7.94,
31,13/06/2023,9.30,B,764.24,423.55,11.02,
32,14/06/2023,10.15,B,672.14,182.11,3.08,
33,15/06/2023,9.15,B,774.11,138.18,5.16,
34,16/06/2023,10.00,B,846.12,107.74,1.02,
35,20/06/2023,9.35,A,867.18,94.11,0.00,
36,21/06/2023,9.45,A,916,302.10,11.02,
37,22/06/2023,9.40,B,519.21,166.72,0.00,
38,23/06/2023,9.30,B,634.14,376.11,8.04,
39,26/06/2023,12.00,B,#NA!,,,
40,27/06/2023,9.00,B,467.21,131.16,0.00,
41,27/06/2023,,B,#NA!,,,
42,28/06/2023,9.05,B,943.1,245.07,6.10,
43,28/06/2023,,B,,,,
44,29/06/2023,9.30,B,716.15,-86.54,11.13,
45,30/06/2023,8.00,B,982.17,164.11,0.00,
46,30/06/2023,,B,,,,
47,03/07/2023,9.30,B,799.34,273.00,0.00,
48,04/07/2023,,B,,,,
49,05/07/2023,9.20,B,561.24,104.99,10.14,
50,06/07/2023,7.40,A,915.14,203.59,7.28,
51,06/07/2023,,B,,,,
52,07/07/2023,9.35,A,555.12,284.94,9,
53,11/07/2023,12.00,B,,,,
54,12/07/2023,14.00,B,,,,
56,14/07/2023,12.00,B,,,,
57,17/07/2023,11.00,B,413.07,32.54,12.00,
58,18/07/2023,9.45,B,496.24,193.12,9.05,
59,19/07/2023,9.35,B,539.15,229.07,9.00,
60,20/07/2023,9.25,B,721.24,209.88,6.05,
61,20/07/2023,,B,,,,
62,21/07/2023,9.15,B,916.54,375.55,6.07,
63,24/07/2023,11.45,B,626.45,227.44,6.08,
64,24/07/2023,,B,,,,
65,25/07/2023,9.40,B,666.54,122.11,7.05,
66,25/07/2023,,B,#NA!,,,
67,26/07/2023,9.10,B,717.1,55.59,1.17,
68,26/07/2023,,B,,,,
69,27/07/2023,9.30,A,874.08,390.14,9.09,
70,27/07/2023,,B,,,,
71,28/07/2023,9.30,A,820.99,277.07,10.12,
72,31/07/2023,11.15,B,727.06,371.24,11.00,
73,01/08/2023,9.10,B,785.17,163.18,0.00,
74,02/08/2023,9.10,B,982.2,188.72,8.28,
75,03/08/2023,9.45,B,,,,
76,03/08/2023,14.00,B,,,,
77,04/08/2023,10.00,B,,,,
78,08/08/2023,9.45,A,510.06,136.20,14.02,
79,09/08/2023,9.30,B,608,168.00,11.08,
80,10/08/2023,9.20,B,,,,
81,10/08/2023,13.00,B,,,,
82,11/08/2023,9.40,A,7.06,11.00,0.00,
83,15/08/2023,9.30,B,933.27,277.47,0.04,
84,16/08/2023,9.30,B,814.09,334.24,12.01,
85,17/08/2023,9.15,B,763.01,302.12,11.04,
86,18/08/2023,9.45,A,904.2,158.15,11.33,
87,21/08/2023,8.10,B,834.39,191.44,1.00,
88,22/08/2023,8.40,B,1231.24,239.07,0.00,
89,24/08/2023,10.01,B,1268.24,111.84,0.00,
90,25/08/2023,9.20,B,1294.55,293.50,6.01,
91,28/08/2023,10.20,B,1481.2,293.00,14.12,
92,30/08/2023,9.30,B,1548.3,235.24,0.00,
93,31/08/2023,8.00,B,1427.36,242.11,8.23,
94,01/09/2023,9.35,B,1606.11,320.08,4.03,
95,04/09/2023,,B,,,,
96,05/09/2023,9.30,B,1653.9,68.04,4.00,
97,06/09/2023,0.40,B,1489.2,357.39,0.00,
98,07/09/2023,9.35,B,1640.41,360.87,12.01,
99,08/09/2023,9.05,B,1544.21,179.11,13.21,
100,11/09/2023,10.20,B,1681.24,174.12,12.04,
101,12/09/2023,10.00,B,1838.6,97.50,0.01,
102,13/09/2023,9.45,B,2003,64.06,7.30,
