Run,Date,Weight before Drying,Weight after Drying,Output A (g),Speed (RPM)
14,25/04/2023,1148,257,2361.00,308
15,26/04/2023,2431,1552,622.00,281
16,28/04/2023,1384,493,553.00,416
17,03/05/2023,1125,447,515.00,385
18,15/05/2023,1909,306,711.00,546
19,23/05/2023,1809,892,766.00,177
20,24/05/2023,1559,653,#NA!,281
21,25/05/2023,654,,903.00,495
22,26/05/2023,2741,500,747.00,425
23,30/05/2023,1493,448,696.00,598
24,31/05/2023,2568,447,691.00,485
25,01/06/2023,994,381,1523.00,447
26,05/06/2023,1221,672,914.00,452
27,06/06/2023,1327,481,254.00,392
28,07/06/2023,897,360,666.00,437
29,08/06/2023,1278,748,407.00,360
30,12/06/2023,1917,237,2298.00,620
,13/06/2023,3665,3034,2022.00,483
32,14/06/2023,2879,1258,3815.00,630
33,15/06/2023,3275,2670,,571
34,16/06/2023,690,,737.00,243
,20/06/2023,1084,457,1585.00,278
,21/06/2023,1693,982,386.00,575
,22/06/2023,1125,343,556.00,597
38,23/06/2023,1904,326,,518
39,26/06/2023,-500,,,588
40,27/06/2023,,,199.00,275
41,27/06/2023,1615,375,,594
42,28/06/2023,,,626.00,601
43,28/06/2023,1104,507,1805.00,579
50,06/07/2023,895,310,690.00,489
51,06/07/2023,1361,775,,368
57,17/07/2023,877,237,1530.00,552
58,18/07/2023,2595,1496,1612.00,877
59,19/07/2023,2167,1612,,1135
60,20/07/2023,,,533.00,1022
61,20/07/2023,825,308,4284.00,808
,21/07/2023,3286,1945,1861.00,1141
63,24/07/2023,1358,819,967.00,988
64,24/07/2023,2060,577,,953
65,25/07/2023,,,920.00,950
66,25/07/2023,3008,1082,,963
67,26/07/2023,,,485.00,1054
68,26/07/2023,2490,410,,1003
69,27/07/2023,,,1568.00,988
70,27/07/2023,2621,1460,351.00,1146
71,28/07/2023,1360,749,655.00,1061
72,31/07/2023,963,321,620.00,1197
73,01/08/2023,1583,488,851.00,1188
74,02/08/2023,1892,703,,929
75,03/08/2023,,,,47
76,03/08/2023,,,,197
77,04/08/2023,,,515.00,1032
78,08/08/2023,2023,399,,185
79,09/08/2023,309,,,454
80,10/08/2023,,,,1328
81,10/08/2023,,,1155.00,861
82,11/08/2023,1252,559,1187.00,761
83,15/08/2023,2155,1041,,824
84,16/08/2023,599,,420.00,617
85,17/08/2023,1672,362,558.00,572
86,18/08/2023,1710,352,4084.00,887
87,21/08/2023,3243,2260,637.00,790
88,22/08/2023,1410,824,2275.00,1245
